name,ticker,image,link,round,total_raised,pre_valuation,categories,date,ecosystem,investor_1,investor_2,investor_3,investor_4,investor_5,investor_6,investor_7
"TrueX","","https://icodrops.com/media/cache/48/c4/48c4782cddf0626be321a08908585db7.webp","https://icodrops.com/truex/","Private Stage","$20 M","—","CEX","Upcoming","","Variant","Accomplice","Hack VC","More Details","","",""
"Future Primitive","","https://icodrops.com/media/cache/b4/e6/b4e6e173d7db603edbbd3b5f7e65d18f.webp","https://icodrops.com/future-primitive/","Private Stage","—","—","Blockchain Service","Upcoming","","","","","","","",""
"Fermah","","https://icodrops.com/media/cache/bd/29/bd29c90b1b47777c62663c07e631a18c.webp","https://icodrops.com/fermah/","Private Stage","$5.2 M","—","Zero Knowledge","Upcoming","","Andreessen Horowitz (a16z)","Balaji Srinivasan","Bankless","More Details","","",""
"Banyan","","https://icodrops.com/media/cache/76/c2/76c2c8ea90e6354c4f4b89e9fb90f363.webp","https://icodrops.com/banyan/","Private Stage","—","—","Artificial Intellig…","Upcoming","","","","","","","",""
"TMRW","","https://icodrops.com/media/cache/3c/33/3c33db92c8afdeaef822983f04c67531.webp","https://icodrops.com/tmrw/","Private Stage","$1.3 M","—","Infrastructure","Upcoming","","Brad Mills","Maple VC","","","","",""
"Sorella","","https://icodrops.com/media/cache/45/b9/45b99cb8680ff57b873d6534be5c9900.webp","https://icodrops.com/sorella/","Private Stage","$7.5 M","—","DeFi","Upcoming","","Paradigm","Bankless","Nascent","More Details","","",""
"Lukka","","https://icodrops.com/media/cache/4c/f8/4cf8467a0c94393bd227fc13dc40250f.webp","https://icodrops.com/lukka/","Private Stage","$140.5 M","$1.3 B","Blockchain Service","Upcoming","","Animoca Brands","Ben Davenport","James Pallotta","More Details","","",""
"BlonkFi","","https://icodrops.com/media/cache/5b/7a/5b7a96fe350839259497b4ea9696c599.webp","https://icodrops.com/blonkfi/","Private Stage","—","—","DeFi","Upcoming","","Manifold Trading","Kyros Ventures","Signum Capital","More Details","","",""
"Etherfuse","","https://icodrops.com/media/cache/70/43/70438446c4683c42f531e3760f2d427b.webp","https://icodrops.com/etherfuse/","Private Stage","$3 M","$12.5 M","DeFi","Upcoming","","FunFair Ventures","North Island Ventures","Stellar Foundation","More Details","Solana","",""
"Caliza","","https://icodrops.com/media/cache/6d/b2/6db29505433c69d437dd6f3ea23c5eee.webp","https://icodrops.com/caliza/","Private Stage","$8.5 M","—","Finance","Upcoming","","Digital Currency Group (DCG)","Initialized Capital","Abstract Ventures","More Details","","",""
